ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description,Disciplines,Cost
10001,AAS,1010,100,Lecture,4,Nemata Blyden,TuTh 12:30pm - 1:45pm,John W. Warner Hall 209,08/27/2024 - 12/06/2024,,,,,,,,,,,,,Introduction to African-American and African Studies I,,Open,173,180,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century.",Cultures & Societies of the World$Historical Perspectives,
13168,AAS,1010,101,Discussion,0,Shelly Penton,We 6:00pm - 6:50pm,Ridley Hall 139,08/27/2024 - 12/06/2024,,,,,,,,,,,,,Introduction to African-American and African Studies I,,Open,18,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century.",Cultures & Societies of the World$Historical Perspectives,
10004,AAS,1010,102,Discussion,0,Addison Wilner,We 5:00pm - 5:50pm,New Cabell Hall 211,08/27/2024 - 12/06/2024,,,,,,,,,,,,,Introduction to African-American and African Studies I,,Closed,20,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century.",Cultures & Societies of the World$Historical Perspectives,
10002,AAS,1010,103,Discussion,0,Elliott Niblock,Tu 7:00pm - 7:50pm,New Cabell Hall 411,08/27/2024 - 12/06/2024,,,,,,,,,,,,,Introduction to African-American and African Studies I,,Open,19,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century.",Cultures & Societies of the World$Historical Perspectives,
10003,AAS,1010,104,Discussion,0,Elliott Niblock,Tu 8:00pm - 8:50pm,New Cabell Hall 411,08/27/2024 - 12/06/2024,,,,,,,,,,,,,Introduction to African-American and African Studies I,,Closed,20,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century.",Cultures & Societies of the World$Historical Perspectives,
10005,AAS,1010,105,Discussion,0,Addison Wilner,We 6:00pm - 6:50pm,New Cabell Hall 411,08/27/2024 - 12/06/2024,,,,,,,,,,,,,Introduction to African-American and African Studies I,,Closed,20,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century.",Cultures & Societies of the World$Historical Perspectives,
10006,AAS,1010,106,Discussion,0,Addison Wilner,We 7:00pm - 7:50pm,New Cabell Hall 107,08/27/2024 - 12/06/2024,,,,,,,,,,,,,Introduction to African-American and African Studies I,,Closed,20,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century.",Cultures & Societies of the World$Historical Perspectives,
11886,AAS,1010,107,Discussion,0,Elliott Niblock,Tu 6:00pm - 6:50pm,New Cabell Hall 415,08/27/2024 - 12/06/2024,,,,,,,,,,,,,Introduction to African-American and African Studies I,,Open,17,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century.",Cultures & Societies of the World$Historical Perspectives,
11887,AAS,1010,108,Discussion,0,Shelly Penton,Tu 5:00pm - 5:50pm,New Cabell Hall 191,08/27/2024 - 12/06/2024,,,,,,,,,,,,,Introduction to African-American and African Studies I,,Open,19,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century.",Cultures & Societies of the World$Historical Perspectives,
11888,AAS,1010,109,Discussion,0,Shelly Penton,We 7:00pm - 7:50pm,Ridley Hall 139,08/27/2024 - 12/06/2024,,,,,,,,,,,,,Introduction to African-American and African Studies I,,Closed,20,20,0,"This introductory course surveys the histories of people of African descent in Africa, the Americas, and the Caribbean from approximately the Middle Ages to the 1880s. Emphases include the Atlantic slave trade and its complex relationship to Africa; the economic systems, cultures, and communities of Africans and African-Americans in the New World, in slavery and in freedom; the rise of anti-slavery movements; and the socio-economic systems that replaced slavery in the late 19th century.",Cultures & Societies of the World$Historical Perspectives,
