ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description,Disciplines,Cost
10552,AAS,1020,100,Lecture,4,Nemata Blyden,TuTh 12:30pm - 1:45pm,Wilson Hall 301,01/13/2025 - 04/29/2025,,,,,,,,,,,,,Introduction to African-American and African Studies II,,Open,90,180,1,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora.",Cultures & Societies of the World$Social & Economic Systems,
10557,AAS,1020,101,Discussion,0,To Be Announced,Tu 6:00pm - 6:50pm,New Cabell Hall 207,01/13/2025 - 04/29/2025,,,,,,,,,,,,,Introduction to African-American and African Studies II,,Open,5,20,0,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora.",Cultures & Societies of the World$Social & Economic Systems,
10556,AAS,1020,102,Discussion,0,To Be Announced,Tu 5:00pm - 5:50pm,New Cabell Hall 315,01/13/2025 - 04/29/2025,,,,,,,,,,,,,Introduction to African-American and African Studies II,,Open,16,20,0,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora.",Cultures & Societies of the World$Social & Economic Systems,
10555,AAS,1020,103,Discussion,0,To Be Announced,We 5:00pm - 5:50pm,New Cabell Hall 291,01/13/2025 - 04/29/2025,,,,,,,,,,,,,Introduction to African-American and African Studies II,,Wait List,20,20,0,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora.",Cultures & Societies of the World$Social & Economic Systems,
10554,AAS,1020,104,Discussion,0,To Be Announced,We 7:00pm - 7:50pm,New Cabell Hall 415,01/13/2025 - 04/29/2025,,,,,,,,,,,,,Introduction to African-American and African Studies II,,Open,3,20,0,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora.",Cultures & Societies of the World$Social & Economic Systems,
10558,AAS,1020,105,Discussion,0,To Be Announced,Tu 7:00pm - 7:50pm,New Cabell Hall 211,01/13/2025 - 04/29/2025,,,,,,,,,,,,,Introduction to African-American and African Studies II,,Open,9,20,0,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora.",Cultures & Societies of the World$Social & Economic Systems,
10553,AAS,1020,106,Discussion,0,To Be Announced,We 6:00pm - 6:50pm,New Cabell Hall 415,01/13/2025 - 04/29/2025,,,,,,,,,,,,,Introduction to African-American and African Studies II,,Open,10,20,0,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora.",Cultures & Societies of the World$Social & Economic Systems,
12236,AAS,1020,107,Discussion,0,To Be Announced,Tu 4:00pm - 4:50pm,New Cabell Hall 032,01/13/2025 - 04/29/2025,,,,,,,,,,,,,Introduction to African-American and African Studies II,,Wait List,20,20,1,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora.",Cultures & Societies of the World$Social & Economic Systems,
12237,AAS,1020,108,Discussion,0,To Be Announced,Tu 5:00pm - 5:50pm,New Cabell Hall 338,01/13/2025 - 04/29/2025,,,,,,,,,,,,,Introduction to African-American and African Studies II,,Open,6,20,0,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora.",Cultures & Societies of the World$Social & Economic Systems,
12238,AAS,1020,109,Discussion,0,To Be Announced,Tu 6:00pm - 6:50pm,New Cabell Hall 211,01/13/2025 - 04/29/2025,,,,,,,,,,,,,Introduction to African-American and African Studies II,,Open,1,20,0,"This introductory course builds upon the histories of people of African descent in Africa, the Americas, and the Caribbean surveyed in AAS 1010. Drawing on disciplines such as Anthropology, History, Religious Studies, Political Science and Sociology, the course focuses on the period from the late 19th century to the present and is comparative in perspective. It examines the links and disjunctions between communities of African descent in the United States and in Latin America, the Caribbean, and Africa. The course begins with an overview of AAS, its history, assumptions, boundaries, and topics of inquiry, and then proceeds to focus on a number of inter-related themes: patterns of cultural experience; community formation; comparative racial classification; language and society; family and kinship; religion; social and political movements; arts and aesthetics; and archaeology of the African Diaspora.",Cultures & Societies of the World$Social & Economic Systems,
